cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,polintr,psppsgva,actrolga,psppipla,cptppola,polcmpl,trstprl,trstlgl,trstplt,trstprt,lrscale,stfeco,stfgov,stfdem,stfedu,gincdif,prtyban,prtvtdru,ctzcntr,atchctr,edulvla,eduyrs,mainact,emplrel,iorgact,uemp5yr,hinctnta,hincfel
RU,ESS1-9e01,1.0,10.12.2020,368285,ESS8e02_2,8,2.2,44,0.476132035255432,0.21773624420166,4.985758313,1.08558028956983,2,1,1,1,1,,0,0,0,0,0,0,0,0,2,2,,66,1,0,5,17,66,1,77,6,7,2
RU,ESS1-9e01,1.0,10.12.2020,368286,ESS8e02_2,8,2.2,45,1.90452814102173,0.944360196590424,4.985758313,4.70835170061702,2,3,2,2,1,,8,8,7,7,77,6,8,7,4,3,,66,1,7,5,13,66,1,5,6,7,2
RU,ESS1-9e01,1.0,10.12.2020,368287,ESS8e02_2,8,2.2,53,0.476132035255432,0.141746520996094,4.985758313,0.706713895395103,3,2,1,1,1,,6,6,6,8,88,4,5,5,6,2,,66,1,8,5,13,66,1,1,6,88,3
RU,ESS1-9e01,1.0,10.12.2020,368288,ESS8e02_2,8,2.2,54,1.90452814102173,3.99635314941406,4.985758313,19.9248509363749,2,2,1,1,2,,4,2,0,1,88,0,2,88,1,3,,66,2,5,3,13,66,2,10,6,7,1
RU,ESS1-9e01,1.0,10.12.2020,368289,ESS8e02_2,8,2.2,55,0.952264070510864,0.746752023696899,4.985758313,3.72312510989639,3,3,3,2,3,,7,5,5,4,6,6,5,6,6,3,,66,1,9,5,16,66,6,66,6,9,2
RU,ESS1-9e01,1.0,10.12.2020,368290,ESS8e02_2,8,2.2,56,0.952264070510864,0.383905321359634,4.985758313,1.91405914737373,2,1,1,1,1,,4,6,6,7,5,3,4,4,3,1,,11,1,8,5,16,66,1,0,2,10,3
RU,ESS1-9e01,1.0,10.12.2020,368291,ESS8e02_2,8,2.2,66,1.4283961057663,0.744472086429596,4.985758313,3.71175789371281,2,2,2,3,3,,7,6,7,5,4,6,3,5,4,3,,66,2,4,5,16,66,1,3,6,10,1
RU,ESS1-9e01,1.0,10.12.2020,368292,ESS8e02_2,8,2.2,67,1.4283961057663,0.425239652395248,4.985758313,2.12014213194684,3,2,2,2,2,,3,2,2,2,5,5,4,5,3,3,,66,1,3,5,12,66,1,3,6,8,2
RU,ESS1-9e01,1.0,10.12.2020,368293,ESS8e02_2,8,2.2,68,0.952264070510864,2.60317277908325,4.985758313,12.9787903234896,2,3,3,3,3,,4,5,4,4,5,6,4,5,5,2,,1,1,5,3,11,66,1,2,2,8,2
RU,ESS1-9e01,1.0,10.12.2020,368294,ESS8e02_2,8,2.2,79,0.952264070510864,0.383905321359634,4.985758313,1.91405914737373,2,2,3,3,3,,8,8,5,5,88,6,5,88,7,2,,1,1,8,5,15,66,1,77,6,1,7
